Prueba|query_id|plan_id|Ejecuciones|MsPromedio|CpuMsPromedio|LecturasPromedio
------|--------|-------|-----------|----------|-------------|----------------
T1|396|401|6|78.56|978.00|27287.00
T1|396|480|6|3.46|3.46|268.00
T2|397|402|6|50.54|362.83|4372.00
T2|397|481|6|16.08|16.08|257.00
T3|398|403|6|160.41|1730.71|31811.00
T3|398|482|6|43.70|43.69|2400.67
T4|399|404|6|710.54|9669.97|38994.00
T4|399|483|6|869.84|8921.58|10374.67
T5|400|405|6|140.16|1454.93|27381.00
T5|400|484|6|60.79|60.79|1662.00
